,Year,District ID,Name of district,Title of respondent,Type of school, Number of Male teachers,Number of female teachers, Number of teacher's who provide special needs education,Total Number of Teachers,Number of Absent Teachers,Number of Present Teachers
0,2010,105,Masaka,HEADTEACHER,Day,5.0,14.0,0.0,19.0,4.0,15.0
1,2010,105,Masaka,KIWEESA ANTHONY,Day,5.0,3.0,0.0,8.0,2.0,6.0
2,2010,105,Masaka,TEACHER,Day,8.0,3.0,0.0,11.0,8.0,3.0
3,2010,105,Masaka,SENIOR EDUC.ASSISTANT,Day,2.0,10.0,1.0,13.0,3.0,10.0
4,2010,105,Masaka,Deputy headteacher,Both,5.0,13.0,2.0,20.0,0.0,20.0
5,2010,105,Masaka,HEADMISTRESS,Day,2.0,10.0,0.0,12.0,7.0,5.0
6,2010,105,Masaka,ASSISTANT  HEADTEACHER,Day,3.0,6.0,1.0,10.0,3.0,7.0
7,2010,105,Masaka,Deputy,Day,5.0,6.0,1.0,12.0,10.0,2.0
8,2010,105,Masaka,HEAD TEACHER,Day,4.0,5.0,1.0,10.0,0.0,10.0
9,2010,105,Masaka,DEPUTY HEADTEACHER,Day,5.0,3.0,0.0,8.0,7.0,1.0
10,2010,105,Masaka,NAMUYANJA H/M,Day,4.0,4.0,0.0,8.0,4.0,4.0
11,2010,105,Masaka,headteacher,Day,3.0,12.0,2.0,17.0,0.0,17.0
12,2010,105,Masaka,DEPUTY HEADTEACHER,Day,6.0,8.0,2.0,16.0,0.0,16.0
13,2010,105,Masaka,HEADTEACHER,Day,2.0,7.0,1.0,10.0,0.0,10.0
14,2010,105,Masaka,HEAD TEACHEER,Day,4.0,11.0,1.0,16.0,9.0,7.0
15,2010,105,Masaka,DEPUTY HEAD MASTER,Day,8.0,6.0,1.0,15.0,7.0,8.0
16,2010,105,Masaka,HEADTEACHER,Both,3.0,8.0,1.0,12.0,0.0,12.0
17,2010,105,Masaka,deputy  headteacher,Day,4.0,9.0,2.0,15.0,4.0,11.0
18,2010,105,Masaka,HEADTEACHER,Day,4.0,11.0,2.0,17.0,0.0,17.0
19,2010,105,Masaka,MASAKA,Day,2.0,5.0,7.0,14.0,10.0,4.0
20,2010,105,Masaka,DEPUTY HEAD TR,Day,4.0,7.0,1.0,12.0,0.0,12.0
21,2010,105,Masaka,HEADMASTER,Day,6.0,7.0,0.0,13.0,59.0,-46.0
22,2010,105,Masaka,Headteacher,Day,5.0,8.0,0.0,13.0,14.0,-1.0
23,2010,105,Masaka,Deputy Head teacher,Day,5.0,7.0,0.0,12.0,12.0,0.0
24,2010,105,Masaka,DEPUTY HEADTEACHER,Day,7.0,7.0,1.0,15.0,10.0,5.0
25,2010,105,Masaka,director  of  studies,Day,8.0,9.0,1.0,18.0,2.0,16.0
26,2010,105,Masaka,HEAD TEACHER,Day,9.0,11.0,1.0,21.0,5.0,16.0
27,2010,105,Masaka,HEADTEACHER,Day,8.0,8.0,3.0,19.0,26.0,-7.0
28,2010,105,Masaka,TEACHER,Day,5.0,3.0,0.0,8.0,0.0,8.0
29,2010,105,Masaka,HEADTEACHER,Day,4.0,3.0,0.0,7.0,2.0,5.0
30,2010,107,Mubende,HEADTEACHER,Day,5.0,6.0,,11.0,6.0,5.0
31,2010,107,Mubende,headteahcer,Day,7.0,3.0,3.0,13.0,8.0,5.0
32,2010,107,Mubende,Headmistress,Day,2.0,5.0,0.0,7.0,35.0,-28.0
33,2010,107,Mubende,Deputy Headmaster,Day,3.0,7.0,0.0,10.0,4.0,6.0
34,2010,107,Mubende,deputy headmaster,Day,8.0,13.0,0.0,21.0,0.0,21.0
35,2010,107,Mubende,DEPUTY,Day,6.0,3.0,0.0,9.0,15.0,-6.0
36,2010,107,Mubende,DEPUTY HEADTEACHER,Day,8.0,11.0,0.0,19.0,10.0,9.0
37,2010,107,Mubende,Head Teacher,Day,3.0,5.0,0.0,8.0,1.0,7.0
38,2010,107,Mubende,MR.YIGA CHARLES,Day,5.0,4.0,0.0,9.0,4.0,5.0
39,2010,107,Mubende,Deputy Headmaster,Day,3.0,4.0,0.0,7.0,2.0,5.0
40,2010,107,Mubende,HEADMISTRESS,Day,2.0,4.0,0.0,6.0,9.0,-3.0
41,2010,107,Mubende,HEAD TEACHER,Day,9.0,8.0,1.0,18.0,0.0,18.0
42,2010,107,Mubende,NANYONDO JUSTINE,Day,2.0,5.0,0.0,7.0,22.0,-15.0
43,2010,107,Mubende,DEPUTY HEADTEACHER,Day,4.0,1.0,,5.0,7.0,-2.0
44,2010,107,Mubende,,Day,4.0,3.0,,7.0,0.0,7.0
45,2010,107,Mubende,HEAD TEACHER,Day,3.0,5.0,,8.0,0.0,8.0
46,2010,107,Mubende,HEADTEACHER,Day,5.0,1.0,0.0,6.0,5.0,1.0
47,2010,107,Mubende,HEADTEACHER,Day,5.0,3.0,,8.0,8.0,0.0
48,2010,107,Mubende,h/m,Day,5.0,4.0,,9.0,0.0,9.0
49,2010,107,Mubende,DEPUTY HEADMASTER,Day,7.0,7.0,,14.0,1.0,13.0
50,2010,107,Mubende,DEPUTY HEADTEACHER,Day,5.0,4.0,,9.0,8.0,1.0
51,2010,107,Mubende,volunteer,Day,5.0,0.0,,5.0,1.0,4.0
52,2010,107,Mubende,Deputy Headteacher,Day,2.0,4.0,1.0,7.0,0.0,7.0
53,2010,107,Mubende,DEPUTY HEADTEACHER,Day,4.0,2.0,6.0,12.0,2.0,10.0
54,2010,107,Mubende,HEADTEACHER,Day,2.0,6.0,,8.0,0.0,8.0
55,2010,107,Mubende,HEADMASTER,Day,2.0,4.0,6.0,12.0,7.0,5.0
56,2010,107,Mubende,assistant headmaster,Day,4.0,3.0,0.0,7.0,6.0,1.0
57,2010,107,Mubende,Teacher,Day,5.0,1.0,0.0,6.0,1.0,5.0
58,2010,107,Mubende,HEADMASTER,Day,6.0,5.0,0.0,11.0,22.0,-11.0
59,2010,107,Mubende,CHAIRMAN  L C 1,Day,2.0,7.0,,9.0,0.0,9.0
60,2010,108,Mukono,second  deputy  headteacher,Day,2.0,4.0,0.0,6.0,0.0,6.0
61,2010,108,Mukono,deputy    head            teacher,Day,4.0,3.0,0.0,7.0,12.0,-5.0
62,2010,108,Mukono,headmistress,Day,3.0,9.0,1.0,13.0,0.0,13.0
63,2010,108,Mukono,TEACHER,Day,2.0,3.0,0.0,5.0,0.0,5.0
64,2010,108,Mukono,TEACHER ON DUTY,Day,5.0,6.0,0.0,11.0,0.0,11.0
65,2010,108,Mukono,Deputy Head master,Day,4.0,9.0,,13.0,0.0,13.0
66,2010,108,Mukono,HEADTEACHER,Day,4.0,12.0,1.0,17.0,6.0,11.0
67,2010,108,Mukono,DEPUTY H/M,Day,4.0,4.0,2.0,10.0,0.0,10.0
68,2010,108,Mukono,DEPUTY HEAD TEACHER,Day,3.0,8.0,0.0,11.0,0.0,11.0
69,2010,108,Mukono,HEADTEACHER,Day,5.0,7.0,1.0,13.0,9.0,4.0
70,2010,108,Mukono,DEPUTY HEADTEACHER,Day,5.0,15.0,2.0,22.0,18.0,4.0
71,2010,108,Mukono,DEPUTY   H/M,Day,3.0,3.0,,6.0,5.0,1.0
72,2010,108,Mukono,HEADTEACHER,Day,6.0,9.0,0.0,15.0,9.0,6.0
73,2010,108,Mukono,HEADMASTER,Day,3.0,4.0,0.0,7.0,4.0,3.0
74,2010,108,Mukono,DIRECTOR OF STUDENTS,Day,4.0,8.0,0.0,12.0,16.0,-4.0
75,2010,108,Mukono,DEPUTY,Day,7.0,2.0,0.0,9.0,10.0,-1.0
76,2010,108,Mukono,TEACHER,Day,7.0,5.0,0.0,12.0,5.0,7.0
77,2010,108,Mukono,TEACHER ON DUTY,Day,3.0,2.0,,5.0,0.0,5.0
78,2010,108,Mukono,DEPUTY   HEADMASTER,Day,4.0,3.0,,7.0,7.0,0.0
79,2010,108,Mukono,TEACHER ON DUTY,Day,2.0,7.0,0.0,9.0,5.0,4.0
80,2010,108,Mukono,DEPUTY HEADMASTER,Both,9.0,7.0,0.0,16.0,6.0,10.0
81,2010,108,Mukono,HEAD MISTRESS,Day,3.0,11.0,,14.0,0.0,14.0
82,2010,108,Mukono,DEPUTY  HEADMASTER,Day,2.0,6.0,2.0,10.0,0.0,10.0
83,2010,108,Mukono,DEPUTY HEAD TEACHER,Day,4.0,8.0,0.0,12.0,5.0,7.0
84,2010,108,Mukono,senior woman,Day,8.0,6.0,1.0,15.0,4.0,11.0
85,2010,108,Mukono,DEPUTY HEADTEACHER,Day,4.0,6.0,,10.0,0.0,10.0
86,2010,108,Mukono,TEACHER  ON  DUTY,Day,2.0,4.0,,6.0,0.0,6.0
87,2010,108,Mukono,teacher  on  duty,Both,8.0,9.0,1.0,18.0,0.0,18.0
88,2010,109,Nakasongola,DEPUTY HEAD MASTER,Day,10.0,8.0,,18.0,1.0,17.0
89,2010,109,Nakasongola,DEPUTY  HEADTEACHER,Day,9.0,3.0,,12.0,10.0,2.0
90,2010,109,Nakasongola,Deputy Headteacher,Day,5.0,4.0,0.0,9.0,0.0,9.0
91,2010,109,Nakasongola,Headteacher,Day,5.0,4.0,0.0,9.0,5.0,4.0
92,2010,109,Nakasongola,HEAD TEACHER,Day,6.0,1.0,3.0,10.0,9.0,1.0
93,2010,109,Nakasongola,DEPUTY H.M,Day,10.0,6.0,16.0,32.0,18.0,14.0
94,2010,109,Nakasongola,DEPUTY HEADTEACHER,Day,4.0,4.0,0.0,8.0,1.0,7.0
95,2010,109,Nakasongola,HEADTEACHER,Day,5.0,4.0,0.0,9.0,4.0,5.0
96,2010,109,Nakasongola,HEADMASTER,Day,6.0,2.0,0.0,8.0,4.0,4.0
97,2010,109,Nakasongola,DEPUTY HEADTEACHER,Day,4.0,4.0,2.0,10.0,2.0,8.0
98,2010,109,Nakasongola,HEADMASTER,Day,6.0,1.0,0.0,7.0,2.0,5.0
99,2010,109,Nakasongola,deputy  headteacher,Day,3.0,7.0,1.0,11.0,6.0,5.0
100,2010,109,Nakasongola,SWAIBU BURUHANI,Day,5.0,4.0,0.0,9.0,3.0,6.0
101,2010,109,Nakasongola,KISOLO HERNY,Day,5.0,3.0,0.0,8.0,9.0,-1.0
102,2010,109,Nakasongola,ASSISTANT HEADTEACHER,Day,5.0,4.0,0.0,9.0,0.0,9.0
103,2010,109,Nakasongola,director of studies,Day,6.0,3.0,0.0,9.0,3.0,6.0
104,2010,109,Nakasongola,HEADMASTER,Day,4.0,3.0,0.0,7.0,5.0,2.0
105,2010,109,Nakasongola,Deputy Headteacher,Day,2.0,3.0,0.0,5.0,0.0,5.0
106,2010,109,Nakasongola,deputy headmaster,Day,5.0,4.0,1.0,10.0,1.0,9.0
107,2010,109,Nakasongola,HEADMASTER,Day,6.0,2.0,0.0,8.0,35.0,-27.0
108,2010,109,Nakasongola,ASSISTANT H/M,Day,3.0,5.0,0.0,8.0,0.0,8.0
109,2010,109,Nakasongola,HEADMASTER,Day,3.0,0.0,0.0,3.0,4.0,-1.0
110,2010,109,Nakasongola,HEADTEACHER,Day,3.0,3.0,0.0,6.0,2.0,4.0
111,2010,109,Nakasongola,DEPUTY H.M,Day,4.0,4.0,0.0,8.0,3.0,5.0
112,2010,109,Nakasongola,HEADMISTRESS,Both,6.0,4.0,0.0,10.0,0.0,10.0
113,2010,109,Nakasongola,senior woman teacher,Day,3.0,5.0,1.0,9.0,3.0,6.0
114,2010,109,Nakasongola,TEACHER ON DUTY,Day,5.0,4.0,0.0,9.0,4.0,5.0
115,2010,109,Nakasongola,DEPUTY  HEADMASTER,Day,7.0,2.0,,9.0,3.0,6.0
116,2010,109,Nakasongola,ASSISSTANT HEAD TEACHER,Day,2.0,3.0,,5.0,12.0,-7.0
117,2010,109,Nakasongola,Deputy Headmaster,Day,6.0,5.0,0.0,11.0,5.0,6.0
118,2010,110,Rakai,head teacher,Day,3.0,8.0,1.0,12.0,2.0,10.0
119,2010,110,Rakai,deputy headteacher,Day,6.0,4.0,0.0,10.0,3.0,7.0
120,2010,110,Rakai,HEADTEACHER,Day,5.0,6.0,0.0,11.0,7.0,4.0
121,2010,110,Rakai,HEADMASTER,Day,7.0,10.0,3.0,20.0,10.0,10.0
122,2010,110,Rakai,HEADTEACHER,Day,5.0,5.0,2.0,12.0,10.0,2.0
123,2010,110,Rakai,deputy headteacher,Day,6.0,3.0,0.0,9.0,0.0,9.0
124,2010,110,Rakai,Deputy Headmaster,Day,5.0,9.0,,14.0,7.0,7.0
125,2010,110,Rakai,headteacher,Day,5.0,5.0,0.0,10.0,2.0,8.0
126,2010,110,Rakai,Headmaster,Day,6.0,3.0,0.0,9.0,11.0,-2.0
127,2010,110,Rakai,DEPUTY HEADTEACHER,Day,3.0,3.0,2.0,8.0,5.0,3.0
128,2010,110,Rakai,HEADMASTER,Day,8.0,2.0,,10.0,17.0,-7.0
129,2010,110,Rakai,deputy,Day,5.0,10.0,0.0,15.0,18.0,-3.0
130,2010,110,Rakai,HAEDMISTRESS,Day,3.0,10.0,0.0,13.0,17.0,-4.0
131,2010,110,Rakai,HEADMASTER,Day,9.0,7.0,1.0,17.0,11.0,6.0
132,2010,110,Rakai,Deputy Headmaster,Day,7.0,9.0,,16.0,33.0,-17.0
133,2010,110,Rakai,DEPUTY HEADMASTER,Day,3.0,6.0,,9.0,8.0,1.0
134,2010,110,Rakai,HEAD TEACHER,Day,7.0,3.0,2.0,12.0,5.0,7.0
135,2010,110,Rakai,headmistress,Day,4.0,7.0,0.0,11.0,0.0,11.0
136,2010,110,Rakai,DEPUTY,Day,5.0,1.0,4.0,10.0,5.0,5.0
137,2010,110,Rakai,HEADMISTRESS,Day,4.0,4.0,0.0,8.0,11.0,-3.0
138,2010,110,Rakai,DEPUTY HM,Both,7.0,3.0,,10.0,4.0,6.0
139,2010,110,Rakai,Deputy Headmaster,Day,10.0,5.0,,15.0,16.0,-1.0
140,2010,110,Rakai,Deputy Headmaster,Day,6.0,5.0,2.0,13.0,0.0,13.0
141,2010,110,Rakai,Headmaster,Day,6.0,10.0,2.0,18.0,2.0,16.0
142,2010,110,Rakai,Deputy headteacher,Day,4.0,10.0,0.0,14.0,20.0,-6.0
143,2010,110,Rakai,Headteacher,Day,7.0,4.0,0.0,11.0,23.0,-12.0
144,2010,110,Rakai,Deputy headteacher,Day,8.0,5.0,2.0,15.0,11.0,4.0
145,2010,110,Rakai,Deputy headmaster,Day,6.0,4.0,,10.0,6.0,4.0
146,2010,110,Rakai,Deputy head teacher,Day,6.0,8.0,,14.0,58.0,-44.0
147,2010,110,Rakai,Deputy headteacher,Day,8.0,3.0,0.0,11.0,6.0,5.0
148,2010,113,Wakiso,director,Both,5.0,12.0,1.0,18.0,0.0,18.0
149,2010,113,Wakiso,DEPUTY HEAD TEACHER,Both,3.0,12.0,,15.0,0.0,15.0
150,2010,113,Wakiso,HEADMASTER,Both,12.0,9.0,,21.0,0.0,21.0
151,2010,113,Wakiso,HEADTEACHER,Day,2.0,5.0,0.0,7.0,0.0,7.0
152,2010,113,Wakiso,NO TITLE,Day,2.0,8.0,0.0,10.0,6.0,4.0
153,2010,113,Wakiso,headteacher,Day,1.0,7.0,,8.0,0.0,8.0
154,2010,113,Wakiso,HRADTEACHER,Day,6.0,10.0,1.0,17.0,3.0,14.0
155,2010,113,Wakiso,deputy,Day,5.0,2.0,0.0,7.0,3.0,4.0
156,2010,113,Wakiso,WAKISO,Both,5.0,14.0,1.0,20.0,1.0,19.0
157,2010,113,Wakiso,DEPUTY HEADTEACHER,Day,6.0,10.0,0.0,16.0,4.0,12.0
158,2010,113,Wakiso,DEPUTY HEADMASTER,Both,16.0,16.0,6.0,38.0,5.0,33.0
159,2010,113,Wakiso,HEADMASTER,Both,6.0,9.0,0.0,15.0,0.0,15.0
160,2010,113,Wakiso,HEADMASTER,Day,2.0,2.0,0.0,4.0,2.0,2.0
161,2010,113,Wakiso,HEADTEACHER,Day,5.0,16.0,1.0,22.0,0.0,22.0
162,2010,113,Wakiso,DEPUTY,Day,3.0,15.0,0.0,18.0,0.0,18.0
163,2010,113,Wakiso,HEADTEACHER,Day,9.0,20.0,,29.0,10.0,19.0
164,2010,113,Wakiso,DEPUTY HEADTEACHER,Both,4.0,12.0,0.0,16.0,0.0,16.0
165,2010,113,Wakiso,headteacher,Day,2.0,4.0,0.0,6.0,0.0,6.0
166,2010,113,Wakiso,HEADMISTRESS,Day,1.0,5.0,1.0,7.0,6.0,1.0
167,2010,113,Wakiso,DEPUTY HEADMASTER,Day,4.0,7.0,,11.0,0.0,11.0
168,2010,113,Wakiso,HEADTEACHER,Day,7.0,0.0,11.0,18.0,0.0,18.0
169,2010,113,Wakiso,DEPUTY HEADMASTER,Boarding,3.0,5.0,0.0,8.0,0.0,8.0
170,2010,113,Wakiso,Headmaster,Day,4.0,12.0,0.0,16.0,0.0,16.0
171,2010,113,Wakiso,HEADMASTER,Day,0.0,11.0,0.0,11.0,0.0,11.0
172,2010,113,Wakiso,HEADMISTRESS,Day,1.0,8.0,0.0,9.0,1.0,8.0
173,2010,113,Wakiso,,Day,7.0,12.0,0.0,19.0,0.0,19.0
174,2010,113,Wakiso,HEADMASTER,Day,3.0,6.0,1.0,10.0,3.0,7.0
175,2010,113,Wakiso,HEADTEACHER,Day,4.0,14.0,,18.0,4.0,14.0
176,2010,113,Wakiso,deputy headmaster,Both,9.0,15.0,,24.0,0.0,24.0
177,2010,113,Wakiso,deputy headteacher,Day,3.0,11.0,,14.0,16.0,-2.0
178,2010,202,Busia,ACADEMIC OFFICER,Day,10.0,11.0,3.0,24.0,7.0,17.0
179,2010,202,Busia,HEADTEACHER,Day,16.0,6.0,2.0,24.0,7.0,17.0
180,2010,202,Busia,HEADMASTER,Day,7.0,0.0,0.0,7.0,1.0,6.0
181,2010,202,Busia,DEPUTY HEAD TEACHER,Day,6.0,3.0,,9.0,4.0,5.0
182,2010,202,Busia,DEPUTY HEADTEACHER,Day,5.0,4.0,0.0,9.0,5.0,4.0
183,2010,202,Busia,DEPUTY HEAD TEACHER,Day,14.0,4.0,0.0,18.0,3.0,15.0
184,2010,202,Busia,DEPUTY HEADTEACHER,Day,18.0,8.0,3.0,29.0,0.0,29.0
185,2010,202,Busia,Head Master,Day,7.0,1.0,1.0,9.0,0.0,9.0
186,2010,202,Busia,HEADMASTER,Day,8.0,3.0,2.0,13.0,12.0,1.0
187,2010,202,Busia,DEPUTY   HEADTEACHER,Day,7.0,1.0,,8.0,1.0,7.0
188,2010,202,Busia,HEADTEACHER,Day,8.0,3.0,0.0,11.0,1.0,10.0
189,2010,202,Busia,HEADMASTER,Day,8.0,5.0,0.0,13.0,4.0,9.0
190,2010,202,Busia,HEADMISTRESS,Day,6.0,15.0,1.0,22.0,0.0,22.0
191,2010,202,Busia,HEADTEACHER,Day,7.0,2.0,0.0,9.0,11.0,-2.0
192,2010,202,Busia,deputy  headteacher,Day,7.0,6.0,2.0,15.0,11.0,4.0
193,2010,202,Busia,HEADMASTER,Day,7.0,14.0,0.0,21.0,13.0,8.0
194,2010,202,Busia,deputy  headmaster,Day,10.0,3.0,3.0,16.0,14.0,2.0
195,2010,202,Busia,headteacher,Day,2.0,6.0,0.0,8.0,0.0,8.0
196,2010,202,Busia,`headmaster,Day,2.0,6.0,,8.0,0.0,8.0
197,2010,202,Busia,deputy headmaster,Day,22.0,19.0,2.0,43.0,4.0,39.0
198,2010,202,Busia,headmaster,Day,7.0,3.0,1.0,11.0,10.0,1.0
199,2010,202,Busia,HEADTEACHER,Day,10.0,5.0,,15.0,19.0,-4.0
200,2010,202,Busia,DEPUTY    H/T,Day,11.0,1.0,,12.0,8.0,4.0
201,2010,202,Busia,HEADTEACHER,Day,6.0,8.0,2.0,16.0,5.0,11.0
202,2010,202,Busia,HEADMASTER,Day,0.0,0.0,0.0,0.0,5.0,-5.0
203,2010,202,Busia,HEADTEACHER,Day,10.0,18.0,0.0,28.0,5.0,23.0
204,2010,202,Busia,Head Teacher,Day,7.0,2.0,,9.0,4.0,5.0
205,2010,205,Kamuli,DEPUTY HM,Day,6.0,6.0,0.0,12.0,0.0,12.0
206,2010,205,Kamuli,TEACHER ON DUTY,Day,4.0,2.0,0.0,6.0,0.0,6.0
207,2010,205,Kamuli,HEADTEACHER,Day,7.0,10.0,1.0,18.0,12.0,6.0
208,2010,205,Kamuli,DEPUTY H/M,Day,4.0,1.0,0.0,5.0,11.0,-6.0
209,2010,205,Kamuli,DEPUTY HEADTEACHER,Day,5.0,3.0,0.0,8.0,5.0,3.0
210,2010,205,Kamuli,DEPUTY HEADMASTER,Day,8.0,8.0,1.0,17.0,19.0,-2.0
211,2010,205,Kamuli,HEADMASTER,Day,5.0,5.0,0.0,10.0,0.0,10.0
212,2010,205,Kamuli,DEPUTY HEADTEACHER,Day,6.0,6.0,0.0,12.0,2.0,10.0
213,2010,205,Kamuli,deputy headteacher,Day,10.0,9.0,0.0,19.0,22.0,-3.0
214,2010,205,Kamuli,headteacher,Day,19.0,7.0,1.0,27.0,10.0,17.0
215,2010,205,Kamuli,DEPUTY HEAD TEACHER,Day,9.0,2.0,,11.0,0.0,11.0
216,2010,205,Kamuli,DEPUTY HEADMASTER,Both,9.0,5.0,2.0,16.0,5.0,11.0
217,2010,205,Kamuli,TEACHER ON DUTY,Day,9.0,1.0,0.0,10.0,0.0,10.0
218,2010,205,Kamuli,head teacher,Both,10.0,6.0,0.0,16.0,2.0,14.0
219,2010,205,Kamuli,Headteacher,Day,6.0,7.0,0.0,13.0,5.0,8.0
220,2010,205,Kamuli,DEPUTY HEADMASTER,Both,5.0,6.0,,11.0,2.0,9.0
221,2010,205,Kamuli,MASTER ON DUTY,Day,8.0,4.0,,12.0,19.0,-7.0
222,2010,205,Kamuli,DEPUTY HEADTEACHER,Day,8.0,6.0,,14.0,0.0,14.0
223,2010,205,Kamuli,HEADMASTER,Day,8.0,3.0,0.0,11.0,0.0,11.0
224,2010,205,Kamuli,DEPUTY HEAD TEACHER,Day,6.0,8.0,0.0,14.0,0.0,14.0
225,2010,205,Kamuli,TEACHER ON DUTY,Day,6.0,2.0,0.0,8.0,6.0,2.0
226,2010,205,Kamuli,Deputy Headteacher,Day,8.0,3.0,0.0,11.0,19.0,-8.0
227,2010,205,Kamuli,master on duty,Day,9.0,0.0,0.0,9.0,0.0,9.0
228,2010,205,Kamuli,DEPUTY HEAD TEACHER,Day,8.0,3.0,2.0,13.0,18.0,-5.0
229,2010,205,Kamuli,HEAD TEACHER,Day,6.0,6.0,0.0,12.0,0.0,12.0
230,2010,205,Kamuli,DEPUTY HEADTEACHER,Day,9.0,4.0,,13.0,6.0,7.0
231,2010,205,Kamuli,TEACHER ON DUTY,Day,7.0,2.0,,9.0,10.0,-1.0
232,2010,205,Kamuli,MALE SENIOR TEACHER,Day,4.0,1.0,,5.0,0.0,5.0
233,2010,205,Kamuli,DEPUTY HEADMASTER,Day,8.0,9.0,,17.0,0.0,17.0
234,2010,205,Kamuli,HEADTEACHER,Day,20.0,10.0,1.0,31.0,16.0,15.0
235,2010,207,Katakwi,DEPUTY HEADTEACHER,Day,6.0,2.0,1.0,9.0,14.0,-5.0
236,2010,207,Katakwi,DEPUTY H.M,Day,8.0,1.0,3.0,12.0,3.0,9.0
237,2010,207,Katakwi,DEPUTY HEADTEACHER,Day,7.0,5.0,1.0,13.0,8.0,5.0
238,2010,207,Katakwi,MASTER ON DUTY,Day,6.0,2.0,0.0,8.0,1.0,7.0
239,2010,207,Katakwi,Headmaster,Day,7.0,1.0,,8.0,11.0,-3.0
240,2010,207,Katakwi,HEADTEACHER,Day,10.0,3.0,1.0,14.0,22.0,-8.0
241,2010,207,Katakwi,deputy headmaster,Day,8.0,1.0,0.0,9.0,9.0,0.0
242,2010,207,Katakwi,head teacher,Day,8.0,3.0,0.0,11.0,2.0,9.0
243,2010,207,Katakwi,HEAD TEACHER,Day,8.0,1.0,0.0,9.0,8.0,1.0
244,2010,207,Katakwi,HEADTEACHER,Day,6.0,2.0,1.0,9.0,2.0,7.0
245,2010,207,Katakwi,DUTY HEAD TEACHER,Day,5.0,4.0,1.0,10.0,0.0,10.0
246,2010,207,Katakwi,DEPUTY H/M,Day,9.0,7.0,1.0,17.0,14.0,3.0
247,2010,207,Katakwi,EDUCATION ASSISTANT,Day,11.0,4.0,0.0,15.0,14.0,1.0
248,2010,207,Katakwi,HEADTEACHER,Day,7.0,2.0,,9.0,3.0,6.0
249,2010,207,Katakwi,HEADMASTER,Day,7.0,2.0,0.0,9.0,0.0,9.0
250,2010,207,Katakwi,headteacher,Day,5.0,2.0,2.0,9.0,2.0,7.0
251,2010,207,Katakwi,d. head teacher,Day,6.0,3.0,1.0,10.0,9.0,1.0
252,2010,207,Katakwi,head teacher,Day,8.0,4.0,2.0,14.0,12.0,2.0
253,2010,207,Katakwi,HEADMASTER,Day,9.0,4.0,1.0,14.0,2.0,12.0
254,2010,207,Katakwi,HEADMASTER,Day,9.0,1.0,2.0,12.0,1.0,11.0
255,2010,207,Katakwi,,Day,6.0,2.0,8.0,16.0,2.0,14.0
256,2010,207,Katakwi,headteacher,Day,5.0,2.0,0.0,7.0,7.0,0.0
257,2010,207,Katakwi,HEADMISTRESS,Day,6.0,2.0,8.0,16.0,3.0,13.0
258,2010,207,Katakwi,MASTER ON DUTY,Day,6.0,2.0,1.0,9.0,12.0,-3.0
259,2010,207,Katakwi,SENIOR TEACHER,Day,7.0,3.0,1.0,11.0,8.0,3.0
260,2010,207,Katakwi,HEADTEACHER,Day,9.0,1.0,1.0,11.0,13.0,-2.0
261,2010,207,Katakwi,Head Teacher,Day,7.0,2.0,1.0,10.0,10.0,0.0
262,2010,207,Katakwi,HEADTEADCHER,Day,9.0,2.0,11.0,22.0,8.0,14.0
263,2010,214,Mayuge,Deputy Head Master,Day,10.0,10.0,1.0,21.0,12.0,9.0
264,2010,214,Mayuge,DEPUTY HEADMASTER,Day,6.0,5.0,0.0,11.0,18.0,-7.0
265,2010,214,Mayuge,DEPUTY HEADTEACHER,Day,6.0,4.0,2.0,12.0,0.0,12.0
266,2010,214,Mayuge,head Teacher,Day,3.0,5.0,0.0,8.0,2.0,6.0
267,2010,214,Mayuge,DEPUTY HEAD TEACHER,Day,7.0,1.0,0.0,8.0,9.0,-1.0
268,2010,214,Mayuge,director of students,Day,4.0,5.0,0.0,9.0,3.0,6.0
269,2010,214,Mayuge,HEAD TEACHER,Day,9.0,3.0,,12.0,14.0,-2.0
270,2010,214,Mayuge,TEACHER,Day,9.0,6.0,0.0,15.0,3.0,12.0
271,2010,214,Mayuge,DEPUTY HEADTEACHER,Day,6.0,7.0,0.0,13.0,30.0,-17.0
272,2010,214,Mayuge,DEPUTY,Day,5.0,1.0,0.0,6.0,5.0,1.0
273,2010,214,Mayuge,DEPUTY HEADTEACHER,Day,8.0,8.0,0.0,16.0,10.0,6.0
274,2010,214,Mayuge,DEPUTY HEADTEACHER,Day,11.0,3.0,1.0,15.0,5.0,10.0
275,2010,214,Mayuge,dputy  headteacher,Day,10.0,10.0,0.0,20.0,19.0,1.0
276,2010,214,Mayuge,Headteacher,Day,4.0,6.0,0.0,10.0,6.0,4.0
277,2010,214,Mayuge,ASSISTANT HEADMASTER,Day,4.0,3.0,,7.0,11.0,-4.0
278,2010,214,Mayuge,Head Teacher,Day,11.0,2.0,2.0,15.0,14.0,1.0
279,2010,214,Mayuge,DEPUTY HEAD TEACHER,Day,11.0,7.0,2.0,20.0,27.0,-7.0
280,2010,214,Mayuge,deputy headteacher,Day,8.0,0.0,0.0,8.0,0.0,8.0
281,2010,214,Mayuge,deputy headmaster,Day,3.0,0.0,0.0,3.0,5.0,-2.0
282,2010,214,Mayuge,HEADMISTRESS,Day,4.0,5.0,0.0,9.0,12.0,-3.0
283,2010,214,Mayuge,headmaster,Day,11.0,4.0,1.0,16.0,68.0,-52.0
